date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum,snowfall_sum,relative_humidity_2m_mean,surface_pressure_mean,blh_min_m,blh_mean_m,diurnal_range,heating_degree_days,ventilation_index,wind_dir_sin,wind_dir_cos,doy_sin,doy_cos,is_heating_season,is_weekend,trend_days,pm2_5,ctx_pm10,ctx_nitrogen_dioxide,ctx_sulphur_dioxide,ctx_carbon_monoxide,ctx_ozone,ctx_vz_day
2022-08-04,20.5,16.7,25.0,21.4,32.6,4.3,0.0,55,951.5,485.0,890.0,8.3,0.0,19046.0,0.9702957262759965,0.24192189559966767,-0.5431052396834317,-0.8396646346181327,0,0,0,2.39,3.48,2.47,8.98,114.05,63.16,0
2022-08-05,20.1,13.8,25.7,20.8,25.1,0.0,0.0,44,952.6,310.0,1184.0,11.899999999999999,0.0,24627.2,0.8660254037844386,0.5000000000000001,-0.5574684374327892,-0.8301981337405212,0,0,1,2.48,3.63,2.8,9.86,112.21,66.92,0
2022-08-06,20.2,13.4,25.8,20.9,27.1,0.0,0.0,43,951.8,275.0,1117.0,12.4,0.0,23345.3,0.8290375725550417,0.5591929034707468,-0.5716666713027055,-0.8204859638785325,0,1,2,2.02,2.95,2.71,10.1,113.67,68.42,0
2022-08-07,21.1,14.4,26.1,14.4,20.0,0.0,0.0,44,949.0,145.0,1161.0,11.700000000000001,0.0,16718.4,0.7071067811865475,0.7071067811865476,-0.5856957398073511,-0.8105309990194821,0,1,3,6.37,9.17,4.27,15.6,128.58,71.38,0
2022-08-08,18.9,14.8,23.1,14.3,24.2,0.4,0.0,63,946.8,235.0,657.0,8.3,0.0,9395.1,0.5299192642332049,0.848048096156426,-0.5995514915196486,-0.8003361849976326,0,0,4,16.73,23.96,4.99,23.34,182.17,67.17,0
2022-08-09,17.7,13.4,21.9,15.1,20.8,8.6,0.0,73,945.8,150.0,644.0,8.499999999999998,0.3000000000000007,9724.4,0.7071067811865475,0.7071067811865476,-0.6132298262997502,-0.7899045386224707,0,0,5,15.07,21.58,5.66,15.61,210.96,70.21,0
2022-08-10,16.8,14.2,21.4,15.1,22.5,8.6,0.0,82,946.3,335.0,582.0,7.199999999999999,1.1999999999999993,8788.199999999999,0.6560590289905073,0.754709580222772,-0.6267266965083305,-0.7792391467859883,0,0,6,13.46,19.24,7.95,8.42,188.29,67.25,0
2022-08-11,17.2,13.5,21.6,13.1,21.0,2.8,0.0,80,948.3,275.0,682.0,8.100000000000001,0.8000000000000007,8934.199999999999,0.08715574274765817,0.9961946980917455,-0.6400381082043503,-0.7683431655492202,0,0,7,6.83,9.79,6.49,5.66,144.54,59.88,0
2022-08-12,19.0,13.9,24.1,9.7,15.1,0.9,0.0,77,951.3,15.0,623.0,10.200000000000001,0.0,6043.099999999999,0.12186934340514748,0.992546151641322,-0.6531601223269297,-0.757219819208313,0,0,8,7.72,11.1,6.52,12.56,144.88,56.38,0
2022-08-13,18.8,15.0,24.1,10.6,15.8,0.1,0.0,70,951.7,20.0,622.0,9.100000000000001,0.0,6593.2,-0.40673664307580015,0.9135454576426009,-0.6660888558609774,-0.7458723993404061,0,1,9,12.4,17.74,8.66,22.23,194.21,59.58,0
2022-08-14,20.0,12.4,26.0,10.5,23.0,0.0,0.0,58,951.4,20.0,891.0,13.6,0.0,9355.5,-0.19080899537654467,0.981627183447664,-0.6788204829862357,-0.734304263829602,0,1,10,5.18,7.5,17.11,28.18,195.17,54.21,0
2022-08-15,17.4,12.7,21.7,18.1,21.6,0.0,0.0,51,952.9,280.0,932.0,9.0,0.6000000000000014,16869.2,0.6946583704589973,0.7193398003386512,-0.6913512362094071,-0.722518835873311,0,0,11,2.62,3.84,3.24,14.97,112.67,52.67,0
2022-08-16,15.3,9.9,19.7,11.6,16.9,0.0,0.0,52,955.0,65.0,1023.0,9.799999999999999,2.6999999999999993,11866.8,0.3090169943749474,0.9510565162951535,-0.7036774074790131,-0.7105196029692742,0,0,12,3.66,5.3,4.18,14.62,121.58,48.46,0
2022-08-17,15.2,7.8,21.9,12.8,21.9,0.0,0.0,56,953.7,30.0,914.0,14.099999999999998,2.8000000000000007,11699.2,-0.6156614753256582,0.7880107536067221,-0.7157953492826645,-0.6983101158835581,0,0,13,7.23,10.48,7.13,26.95,128.88,47.71,0
2022-08-18,13.2,8.8,17.3,12.1,18.1,0.1,0.0,62,953.0,15.0,932.0,8.5,4.800000000000001,11277.199999999999,0.03489949670250097,0.9993908270190958,-0.7277014757264233,-0.6858939875998227,0,0,14,4.88,7.04,3.41,14.96,118.54,48.33,0
2022-08-19,10.9,6.3,14.3,13.6,19.2,0.0,0.0,61,956.5,135.0,959.0,8.0,7.1,13042.4,0.1908089953765448,0.981627183447664,-0.7393922635959241,-0.673274892250183,0,0,15,2.99,4.3,2.48,9.25,94.46,44.38,0
2022-08-20,11.9,8.6,15.5,8.4,14.6,0.9,0.0,59,957.1,50.0,689.0,6.9,6.1,5787.6,0.49999999999999994,0.8660254037844387,-0.7508642533989489,-0.6604565640279754,0,1,16,3.4,4.94,8.68,13.78,107.83,40.46,0
2022-08-21,13.0,6.2,18.9,6.7,10.4,0.0,0.0,63,958.1,55.0,790.0,12.7,5.0,5293.0,0.49999999999999994,0.8660254037844387,-0.7621140503891487,-0.6474427960827475,0,1,17,4.11,5.9,9.17,19.08,120.33,40.46,0
2022-08-22,13.8,7.2,19.9,12.5,22.5,0.0,0.0,66,957.1,65.0,661.0,12.7,4.199999999999999,8262.5,0.35836794954530027,0.9335804264972017,-0.7731383255706027,-0.6342374393978054,0,0,18,7.35,10.53,16.05,34.47,192.29,38.88,0
2022-08-23,13.6,11.1,17.6,21.9,26.4,0.0,0.0,66,958.9,480.0,922.0,6.500000000000002,4.4,20191.8,0.838670567945424,0.5446390350150271,-0.7839338166829206,-0.6208444016506462,0,0,19,3.82,5.83,7.12,21.52,106.62,47.88,0
2022-08-24,14.7,8.6,20.7,18.8,27.6,0.0,0.0,53,960.5,285.0,1057.0,12.1,3.3000000000000007,19871.600000000002,0.8829475928589269,0.46947156278589086,-0.7944973291665992,-0.6072676460566135,0,0,20,3.61,5.25,4.42,14.95,122.79,55.08,0
2022-08-25,16.2,9.4,22.4,13.3,18.3,0.0,0.0,54,958.2,85.0,801.0,12.999999999999998,1.8000000000000007,10653.300000000001,0.5446390350150271,0.838670567945424,-0.8048257371083452,-0.593511190196115,0,0,21,3.29,4.76,6.55,21.74,137.75,50.46,0
2022-08-26,17.8,10.9,24.7,7.6,13.1,0.0,0.0,54,956.4,10.0,807.0,13.799999999999999,0.1999999999999993,6133.2,-0.05233595624294437,0.9986295347545738,-0.8149159841660797,-0.5795791048257605,0,0,22,7.2,10.47,8.01,21.96,153.0,54.67,0
2022-08-27,19.8,11.6,26.6,9.9,16.0,0.1,0.0,56,956.1,15.0,798.0,15.000000000000002,0.0,7900.200000000001,-0.35836794954530077,0.9335804264972015,-0.8247650844733614,-0.5654755126737576,0,1,23,12.53,18.83,9.58,27.97,192.08,61.88,0
2022-08-28,18.5,13.9,23.1,17.3,20.4,0.0,0.0,54,958.6,300.0,738.0,9.200000000000001,0.0,12767.4,0.8290375725550417,0.5591929034707468,-0.8343701235229537,-0.5512045872199277,0,1,24,5.74,8.31,4.02,16.12,170.75,63.79,0
2022-08-29,17.4,9.7,24.5,11.0,16.3,0.0,0.0,41,958.1,95.0,549.0,14.8,0.6000000000000014,6039.0,0.9975640502598242,0.06975647374412523,-0.8437282590292712,-0.5367705514607103,0,0,25,2.55,3.66,6.37,20.01,131.46,50.67,0
2022-08-30,19.1,10.5,27.2,6.7,10.1,0.0,0.0,43,956.5,50.0,528.0,16.7,0.0,3537.6,0.9902680687415704,-0.13917310096006535,-0.8528367217694589,-0.5221776766595088,0,0,26,7.66,10.96,8.85,26.43,143.54,44.96,0
2022-08-31,20.4,11.4,28.3,7.9,13.9,0.0,0.0,38,953.6,20.0,814.0,16.9,0.0,6430.6,-0.8480480961564262,0.5299192642332047,-0.8616928164028521,-0.5074302810827518,0,0,27,8.96,12.85,9.32,32.23,149.04,57.25,0
2022-09-01,21.1,11.9,29.7,10.9,20.5,0.1,0.0,40,952.6,20.0,938.0,17.799999999999997,0.0,10224.2,-0.874619707139396,-0.48480962024633684,-0.8702939222685674,-0.49253272872205434,0,0,28,14.05,20.82,21.9,40.3,233.38,56.88,0
2022-09-02,23.4,13.9,31.2,8.8,13.4,0.0,0.0,39,957.0,10.0,907.0,17.299999999999997,0.0,7981.6,-0.9975640502598243,0.06975647374412522,-0.8786374941610001,-0.4774894280028391,0,0,29,14.68,22.29,17.9,36.89,193.71,59.08,0
