period,granularity,pollutant,mean_mgm3,ratio_pdk_ss,max_mgm3,ratio_pdk_mr,np_pct,n_over_pdk
2021H1,half,PM10,0.163,2.717,3.29,10.966,19.6,3753.0
2021H1,half,PM2.5,0.154,4.4,3.284,20.526,81.3,13351.0
2021H1,half,Аммиак,0.022,0.547,0.058,0.289,,
2021H1,half,Взвешенные частицы (пыль),0.056,0.374,0.7,1.4,1.1,9.0
2021H1,half,Гамма-фон,0.103,0.15,,,,
2021H1,half,Диоксид азота,0.038,0.958,0.375,1.873,0.05,7.0
2021H1,half,Диоксид серы,0.026,0.517,0.226,0.452,,
2021H1,half,Мышьяк,2.7e-05,0.09,,,,
2021H1,half,Озон,0.032,1.063,0.268,1.675,,
2021H1,half,Оксид азота,0.01,0.16,0.395,0.987,,
2021H1,half,Оксид углерода,0.898,0.299,12.084,2.417,6.4,169.0
2021H1,half,Сероводород,0.002,0.05,6.188,2.3,388.0,8.0
2021H1,half,Фенол,0.004,1.487,0.008,0.8,,
2021H1,half,Формальдегид,0.012,1.175,0.018,0.36,,
2021Q1,quarter,PM10,0.201,3.351,3.29,10.966,31.512,2953.0
2021Q1,quarter,PM2.5,0.195,5.562,3.284,20.526,98.287,8230.0
2021Q1,quarter,Аммиак,0.005,1.657,0.008,0.8,,
2021Q1,quarter,Взвешенные частицы (пыль),0.053,0.35,0.7,1.4,1.878,8.0
2021Q1,quarter,Гамма-фон,0.1,0.15,,,,
2021Q1,quarter,Диоксид азота,0.042,1.05,0.375,1.873,0.108,7.0
2021Q1,quarter,Диоксид серы,0.028,0.567,0.178,0.355,,
2021Q1,quarter,Мышьяк,2.2e-05,0.07,,,,
2021Q1,quarter,Озон,0.029,0.97,0.268,1.675,,
2021Q1,quarter,Оксид азота,0.011,0.178,0.395,0.987,,
2021Q1,quarter,Оксид углерода,1.073,0.358,12.084,2.417,9.39,154.0
2021Q1,quarter,Сероводород,0.002,0.049,6.138,4.29,365.0,2.0
2021Q1,quarter,Фенол,0.022,0.546,0.058,0.289,,
2021Q1,quarter,Формальдегид,0.014,1.445,0.018,0.36,,
2021Q2,quarter,PM10,0.125,2.083,1.603,5.342,7.78,800.0
2021Q2,quarter,PM2.5,0.113,3.238,1.6,9.997,64.4,5121.0
2021Q2,quarter,Аммиак,0.022,0.548,0.053,0.267,,
2021Q2,quarter,Взвешенные частицы (пыль),0.06,0.398,0.5,1.0,0.44,1.0
2021Q2,quarter,Гамма-фон,0.107,0.15,,,,
2021Q2,quarter,Диоксид азота,0.035,0.866,0.161,0.807,,
2021Q2,quarter,Диоксид серы,0.023,0.466,0.226,0.452,,
2021Q2,quarter,Мышьяк,2.7e-05,0.09,,,,
2021Q2,quarter,Озон,0.035,1.156,0.148,0.928,,
2021Q2,quarter,Оксид азота,0.008,0.142,0.144,0.36,,
2021Q2,quarter,Оксид углерода,0.723,0.241,7.8,1.56,3.56,15.0
2021Q2,quarter,Сероводород,0.001,0.05,6.188,0.26,23.0,6.0
2021Q2,quarter,Фенол,0.004,1.431,0.007,0.7,,
2021Q2,quarter,Формальдегид,0.011,1.133,0.016,0.32,,
2021Q3,quarter,PM10,0.121,2.015,1.141,3.804,4.09,462.0
2021Q3,quarter,PM2.5,0.11,3.134,1.135,7.091,56.5,4664.0
2021Q3,quarter,Аммиак,0.022,0.546,0.057,0.285,0.0,0.0
2021Q3,quarter,Взвешенные частицы (пыль),0.057,0.379,0.5,1.0,0.44,1.0
2021Q3,quarter,Гамма-фон,0.11,0.14,,,,
2021Q3,quarter,Диоксид азота,0.032,0.803,0.247,1.236,0.08,5.0
2021Q3,quarter,Диоксид серы,0.022,0.449,0.152,0.303,0.0,0.0
2021Q3,quarter,Мышьяк,1.8e-05,0.06,,,,
2021Q3,quarter,Озон,0.038,1.28,0.218,1.364,0.32,21.0
2021Q3,quarter,Оксид азота,0.006,0.108,0.43,1.075,0.02,1.0
2021Q3,quarter,Оксид углерода,0.824,0.275,7.3,1.46,4.83,13.0
2021Q3,quarter,Сероводород,0.001,0.049,6.063,0.14,14.0,3.0
2021Q3,quarter,Фенол,0.004,1.377,0.007,0.7,0.0,0.0
2021Q3,quarter,Формальдегид,0.008,0.835,0.019,0.386,0.0,0.0
2021Q4,quarter,PM10,0.2,3.328,4.092,13.641,32.5,2937.0
2021Q4,quarter,PM2.5,0.194,5.544,4.09,25.564,98.7,8511.0
2021Q4,quarter,Аммиак,0.022,0.556,0.047,0.234,,
2021Q4,quarter,Взвешенные частицы (пыль),0.068,0.455,1.0,2.0,5.26,14.0
2021Q4,quarter,Гамма-фон,0.099,0.17,,,,
2021Q4,quarter,Диоксид азота,0.036,0.905,0.203,1.014,0.02,
2021Q4,quarter,Диоксид серы,0.024,0.488,0.42,0.84,,
2021Q4,quarter,Мышьяк,3.2e-05,0.11,,,,
2021Q4,quarter,Озон,0.023,0.752,0.093,0.579,,
2021Q4,quarter,Оксид азота,0.01,0.172,0.269,0.672,,
2021Q4,quarter,Оксид углерода,1.265,0.422,13.6,2.72,19.3,352.0
2021Q4,quarter,Сероводород,0.002,0.051,6.375,0.06,6.0,2.0
2021Q4,quarter,Фенол,0.005,1.579,0.008,0.8,,
2021Q4,quarter,Формальдегид,0.01,0.957,0.018,0.36,,
2021Y,year,PM10,0.16,2.674,3.29,10.966,17.3,5996.0
2021Y,year,PM2.5,0.152,4.331,3.284,20.526,77.9,23443.0
2021Y,year,Аммиак,0.022,0.547,0.058,0.289,,
2021Y,year,Взвешенные частицы (пыль),0.058,0.386,1.0,2.0,1.83,21.0
2021Y,year,Гамма-фон,0.104,0.17,,,,
2021Y,year,Диоксид азота,0.036,0.898,0.375,1.873,0.03,13.0
2021Y,year,Диоксид серы,0.024,0.488,0.42,0.84,,
2021Y,year,Мышьяк,2.7e-05,0.09,,,,
2021Y,year,Озон,0.03,1.014,0.268,1.675,0.09,21.0
2021Y,year,Оксид азота,0.009,0.149,0.43,1.075,0.0,1.0
2021Y,year,Оксид углерода,0.978,0.326,13.6,2.72,8.27,477.0
2021Y,year,Сероводород,0.002,0.051,6.375,1.27,408.0,13.0
2021Y,year,Фенол,0.004,1.486,0.008,0.8,,
2021Y,year,Формальдегид,0.01,1.038,0.019,0.386,,
2022H1,half,PM10,0.028,1.12,1.277,728.0,,
2022H1,half,PM2.5,0.186,5.32,5.968,37.298,97.8,16803.0
2022H1,half,Аммиак,0.022,0.555,0.069,0.346,,
2022H1,half,Взвешенные частицы (пыль),0.116,0.774,2.0,4.0,8.22,52.0
2022H1,half,Диоксид азота,0.039,0.969,0.373,1.867,2.15,327.0
2022H1,half,Диоксид серы,0.024,0.477,1.248,2.496,0.01,2.0
2022H1,half,Мышьяк,0.000174,0.581,,,,
2022H1,half,Озон,0.05,1.681,0.354,2.214,8.32,1079.0
2022H1,half,Оксид азота,0.006,0.1,0.363,0.907,,
2022H1,half,Оксид углерода,1.013,0.338,15.619,3.124,7.53,509.0
2022H1,half,Сероводород,0.001,0.049,6.063,0.63,88.0,3.0
2022H1,half,Фенол,0.005,1.525,0.009,0.9,,
2022H1,half,Формальдегид,0.01,0.96,0.017,0.34,,
2022Q1,quarter,PM10,0.257,4.275,5.972,19.908,39.7,3998.0
2022Q1,quarter,PM2.5,0.253,7.232,5.968,37.298,100.0,9583.0
2022Q1,quarter,Аммиак,0.022,0.554,0.069,0.346,,
2022Q1,quarter,Взвешенные частицы (пыль),0.106,0.705,2.0,4.0,5.16,16.0
2022Q1,quarter,Гамма-фон,0.1,0.15,,,,
2022Q1,quarter,Диоксид азота,0.043,1.073,0.373,1.867,4.32,299.0
2022Q1,quarter,Диоксид серы,0.027,0.532,1.248,2.496,0.02,2.0
2022Q1,quarter,Мышьяк,9.6e-05,0.32,,,,
2022Q1,quarter,Озон,0.042,1.416,0.222,1.39,1.24,79.0
2022Q1,quarter,Оксид азота,0.008,0.126,0.324,0.811,,
2022Q1,quarter,Оксид углерода,1.236,0.412,15.619,3.124,9.39,440.0
2022Q1,quarter,Сероводород,0.002,0.049,6.063,1.08,72.0,2.0
2022Q1,quarter,Фенол,0.005,1.532,0.009,0.9,,
2022Q1,quarter,Формальдегид,0.009,0.934,0.017,0.34,,
2022Q2,quarter,PM10,0.12,2.006,3.457,11.522,8.85,835.0
2022Q2,quarter,PM2.5,0.119,3.409,3.454,21.59,95.6,7220.0
2022Q2,quarter,Аммиак,0.022,0.557,0.044,0.221,,
2022Q2,quarter,Взвешенные частицы (пыль),0.127,0.844,1.1,2.2,11.1,36.0
2022Q2,quarter,Гамма-фон,0.11,0.15,,,,
2022Q2,quarter,Диоксид азота,0.035,0.866,0.345,1.724,0.41,28.0
2022Q2,quarter,Диоксид серы,0.021,0.423,0.239,0.478,0.0,
2022Q2,quarter,Мышьяк,0.000174,0.58,,,,
2022Q2,quarter,Озон,0.058,1.945,0.354,2.214,15.2,1000.0
2022Q2,quarter,Оксид азота,0.004,0.073,0.363,0.907,0.0,
2022Q2,quarter,Оксид углерода,0.789,0.263,8.691,1.738,5.8,69.0
2022Q2,quarter,Сероводород,0.001,0.047,5.9,0.19,16.0,1.0
2022Q2,quarter,Фенол,0.005,1.517,0.009,0.9,,
2022Q2,quarter,Формальдегид,0.01,0.985,0.017,0.34,,
2022Q3,quarter,PM10,0.123,2.053,1.349,4.497,8.14,242.0
2022Q3,quarter,PM2.5,0.119,3.4,1.346,8.414,100.0,2426.0
2022Q3,quarter,Аммиак,0.001,0.019,0.102,0.509,,
2022Q3,quarter,Взвешенные частицы (пыль),0.123,0.819,0.9,1.8,16.7,15.0
2022Q3,quarter,Гамма-фон,0.11,0.14,,,,
2022Q3,quarter,Диоксид азота,0.035,0.884,0.268,1.338,1.62,26.0
2022Q3,quarter,Диоксид серы,0.017,0.347,0.062,0.125,,
2022Q3,quarter,Мышьяк,0.000217,0.72,,,,
2022Q3,quarter,Озон,0.027,0.9,0.144,0.898,,
2022Q3,quarter,Оксид азота,0.008,0.136,0.173,0.431,,
2022Q3,quarter,Оксид углерода,0.788,0.263,5.618,1.124,0.06,1.0
2022Q3,quarter,Сероводород,0.001,0.037,4.675,0.19,7.0,
2022Q3,quarter,Фенол,0.005,1.518,0.009,0.9,,
2022Q3,quarter,Формальдегид,0.01,0.998,0.017,0.34,,
2022Q4,quarter,PM10,0.24,3.9,3.89,13.0,37.0,4189.0
2022Q4,quarter,PM2.5,0.23,6.6,3.88,24.3,100.0,9709.0
2022Q4,quarter,Аммиак,0.003,0.06,0.2,0.98,0.0,
2022Q4,quarter,Взвешенные частицы (пыль),0.14,0.91,1.8,3.6,8.0,27.0
2022Q4,quarter,Гамма-фон,0.11,0.19,,,,
2022Q4,quarter,Диоксид азота,0.1,2.4,1.51,7.5,57.0,3659.0
2022Q4,quarter,Диоксид серы,0.02,0.5,0.28,0.56,0.0,
2022Q4,quarter,Мышьяк,0.000164,0.55,,,,
2022Q4,quarter,Озон,0.02,0.56,0.12,0.75,0.0,
2022Q4,quarter,Оксид азота,0.04,0.61,2.22,5.6,11.0,700.0
2022Q4,quarter,Оксид углерода,1.27,0.42,16.9,3.4,12.0,257.0
2022Q4,quarter,Сероводород,0.002,0.06,6.9,1.0,99.0,3.0
2022Q4,quarter,Фенол,0.005,1.6,0.02,2.1,3.0,15.0
2022Q4,quarter,Формальдегид,0.01,1.2,0.03,0.6,0.0,
2023Y,year,PM10,0.27,4.5,3.64,12.1,100.0,6415.0
2023Y,year,PM2.5,0.27,7.6,3.61,22.6,100.0,29710.0
2023Y,year,Аммиак,0.002,0.04,0.42,2.1,0.0,1.0
2023Y,year,Взвешенные частицы (пыль),0.13,0.89,2.4,4.8,10.0,138.0
2023Y,year,Гамма-фон,0.11,0.2,0.0,,,
2023Y,year,Диоксид азота,0.04,1.0,2.22,11.1,6.0,1614.0
2023Y,year,Диоксид серы,0.02,0.4,2.68,5.35,0.0,29.0
2023Y,year,Мышьяк,6.6e-05,0.22,,,,
2023Y,year,Озон,0.02,0.61,0.32,2.0,11.0,1937.0
2023Y,year,Оксид азота,0.02,0.3,2.22,5.6,1.0,190.0
2023Y,year,Оксид углерода,1.17,0.39,20.8,4.2,16.0,669.0
2023Y,year,Сероводород,0.002,0.05,6.6,8.0,2000.0,9.0
