city,source
Караганда,"ТОО ""Tau-Ken Temir"""
Караганда,"ТОО ""ГорКомТранс города Караганды"""
Караганда,"ТОО ""Разрез ""Кузнецкий"""
Караганда,"ТОО фирма ""Рапид""шахта Костенко"
Караганда,ТОО Лад-Комир
Караганда,ТОО Exim Artis
Караганда,СТС-1
Караганда,"ТОО ""Караганда-Ресайклинг"""
Караганда,"ТОО ""Транскомир"""
Караганда,ТОО «Forever Flourishing (Middle Asia) Pty LTD»
Караганда,"ТОО "" Qaz Carbon"" (Каз Карбон)"""
Караганда,ТОО «Asia FerroAlloys»
Караганда,"ТОО ""Asia FerroAlloys"""
Караганда,"ТОО ""Альянс Уголь"""
Караганда,"ТОО ""Центр утилизации Отходов ""ЭкоЛидер"""
Караганда,Агломерационная фабрика ТОО «Asia FerroAlloys»
Караганда,"ТОО ""KAZ Феррит"""
Темиртау,"АО ""Темиртауский электрометаллургический комбинат"""
Темиртау,"ТОО ""Темір Кокс"""
Темиртау,"ТОО ""Гордорсервис-Т"""
Темиртау,"ТОО ""Корпорация Казахмыс"""
Темиртау,"АО ""Central Asia Cement"""
Темиртау,ТОО «Asia FerroAlloys»
Темиртау,"ТОО "" Qaz Carbon"" (Каз Карбон)"""
Темиртау,"ТОО ""Мицар 73"""
Жезказган,"ТОО ""Корпорация Казахмыс"""
Жезказган,АО «ЖАЛТЫРБУЛАК»
Жезказган,"ТОО ""Племптицеторг"""
Жезказган,"ТОО ""Форпост"""
Балхаш,"ТОО ""DD-jol"""
Балхаш,"ТОО ""Медная компания Коунрад"""
Балхаш,"ТОО ""Kazakhmys Energy"" (Казахмыс Энерджи) Балхашская ТЭЦ"
Балхаш,"ТОО ""Bullion"""
Балхаш,"ТОО ""Корпорация Казахмыс"""
Балхаш,ТОО «Эдванс Майнинг Технолоджи»
Шахтинск,"АО ""АрселорМиттал Темиртау"" УД шахта им. Ленина"
Шахтинск,шахта Тентекская
Шахтинск,"АО ""АрселорМитта Темиртау"""
Шахтинск,"шахта ""Казахстанская"""
Шахтинск,шахта шахтинская УД АО АМТ
Шахтинск,"ТОО ""Шахтинсктеплоэнерго"""
Шахтинск,"ТОО ""Акжарык Комир"""
Шахтинск,"ТОО ""Горкомхоз 2020"""
Сарань,"ТОО ""Евромет"", Шахта имени Тусупа Кузембаева"
Сарань,"АО ""АрселорМиттал Темиртау"" УД шахта ""Саранская"""
Сарань,"ТОО ""Сокур Комир"", Товарищество с ограниченной ответственностью ""Эдельвейс +"""
Сарань,ТОО «Горно-обогатительная компания «Сарыарка Көмiр»
Сарань,ТОО Saburkhan Technologies (Сабурхан Технолоджис)
Сарань,"ТОО ""DUVAER"""
Сарань,"ТОО ""Корпорация Казахмыс"". ТОО ""Корпорация Казахмыс"""
Сарань,ТОО «НПП Интеррин»
Сарань,"ТОО ""Корпорация Казахмыс"""
Каражал,"ТОО ""Оркен"""
Каражал,"ТОО ""ZERE Invest Holding"""
Каражал,"ТОО ""Global Mining Technology"""
Абайский район,"АО УД ""АрселорМиттал Темиртау"" шахта ""Абайская"", ЦОФ «Восточная»"
Абайский район,"ТОО ""Агрофирма Курма"""
Абайский район,"ТОО ""Орталық-Құс"""
Абайский район,"ТОО ""Sherubai Komir"""
Абайский район,"ТОО ""Sherubai Komir"", Месторождение Жалаир. строительный камень"
Абайский район,ТОО Agro Fresh
Актогайский район,"ТОО ""Алтыналмас Technology"""
Актогайский район,"ТОО 4 ""COPPER KC-CA"""
Актогайский район,"ТОО ""Balqash Resources"""
Актогайский район,ТОО «BAR NEO»
Актогайский район,ТОО «Irkaz Metal Corporation (Ирказ Металл Корпорэйшн)»
Бухар-Жырауский район,"ТОО АПК ""Волынский"""
Бухар-Жырауский район,"ТОО ""Акнар ПФ"""
Бухар-Жырауский район,"ТОО ""ҚАРАҒАНДЫ-ҚҰС"""
Бухар-Жырауский район,"ТОО ""Максам Казахстан"""
Бухар-Жырауский район,"ТОО ""ПКФ МЕДЕО"""
Бухар-Жырауский район,"АО ""Горнорудная компания ""SatKomir""(СатКомир)"
Бухар-Жырауский район,"АО ""Горнорудная компания ""SatKomir""(СатКомир)"
Бухар-Жырауский район,ТОО «НПП «ИНТЕРРИН» Koshaky
Бухар-Жырауский район,"ТОО ""Майкудукская птицефабрика"""
Бухар-Жырауский район,"ТОО ""МАКСАМ КАЗАХСТАН"""
Каркаралинсий район,ТОО «Корпорация Казахмыс»
Каркаралинсий район,ТОО «Теректi Кен Байыту»
Каркаралинсий район,"ТОО ""Достау Литос"""
Каркаралинсий район,"ГУ ""Аппарат акима Балкантауского сельского округа Каркаралинского района"""
Каркаралинсий район,"ТОО ""СП ""Алайгыр"""
Нуринский район,"Акционерное общество ""Шубарколь Премиум"""
Осакаровский район,"ГУ ""Аппарат Акима Шидертинского сельского округа"""
Шетский район,"ТОО ""Бапы Мэталс"""
Шетский район,ТОО «Металлтерминалсервис»
Шетский район,"ТОО ""Nova Цинк"""
Шетский район,"ТОО ""LAM 2030"""
Шетский район,"ТОО ""Sary-Arka Copper Processing"""
Шетский район,ТОО Bapy Mining
Шетский район,"ТОО ""BAPY MINING"""
Шетский район,"ТОО ""Металлтерминалсервис"""
Улытауский район,"Жезказганское нефтепроводное управление АО ""КазТрансОйл"""
Улытауский район,"ТОО ""Корпорация Казахмыс"""
Улытауский район,"ТОО ""СП""Киякты Комир"""
Улытауский район,"ТОО""NERIS-НЭРИС"""
Улытауский район,"ТОО ""Silicon mining"""
Улытауский район,"ГУ ""Аппарат акима пос.Жезды Улытауского района"""
Жанааркинский район,"ТОО ""Global Chemicals Industries"""
Жанааркинский район,"ТОО ""Аспект Строй"""
Жанааркинский район,ТОО «INDJAZ» (ИНДЖАЗ)
Жанааркинский район,"ТОО ""Сарыарка- ENERGY"""
Жанааркинский район,ТОО Арман
Жанааркинский район,"ТОО ""Арман 100"""
Жанааркинский район,"ТОО ""Орда Group"""
Жанааркинский район,ГУ «Аппарат акима Тугускенского сельского округа Жанааркинского района»
