date,posts,source_file
2021-01-01,"6,8",2021_kvartal_1
2021-01-08,"6,8",2021_kvartal_1
2021-01-11,"6,8",2021_kvartal_1
2021-01-14,"6,8",2021_kvartal_1
2021-01-15,"6,8",2021_kvartal_1
2021-01-17,"6,8",2021_kvartal_1
2021-01-18,"6,8",2021_kvartal_1
2021-01-23,"6,8",2021_kvartal_1
2021-01-24,"6,8",2021_kvartal_1
2021-01-28,"6,8",2021_kvartal_1
2021-01-29,"6,8",2021_kvartal_1
2021-01-30,"6,8",2021_kvartal_1
2021-01-31,"6,8",2021_kvartal_1
2021-02-01,"6,8",2021_kvartal_1
2021-03-10,"6,8",2021_kvartal_1
2021-03-15,"6,8",2021_kvartal_1
2021-03-16,"6,8",2021_kvartal_1
2021-03-17,"6,8",2021_kvartal_1
2021-10-09,"6,8",2021_kvartal_4
2021-10-13,"6,8",2021_kvartal_4
2021-10-17,"6,8",2021_kvartal_4
2021-10-18,"6,8",2021_kvartal_4
2021-11-09,"6,8",2021_year
2021-11-16,"6,8",2021_year
2021-11-28,"6,8",2021_year
2021-11-29,"6,8",2021_year
2021-11-30,"6,8",2021_year
2021-12-01,"6,8",2021_kvartal_4
2021-12-09,"6,8",2021_kvartal_4
2021-12-10,"6,8",2021_kvartal_4
2021-12-30,"6,8",2021_kvartal_4
2021-12-31,"6,8",2021_kvartal_4
2022-01-01,"6,8",2022_kvartal_1
2022-01-02,"6,8",2022_kvartal_1
2022-01-11,"6,8",2022_kvartal_1
2022-01-12,"6,8",2022_kvartal_1
2022-01-22,"6,8",2022_kvartal_1
2022-01-23,"6,8",2022_kvartal_1
2022-01-25,"6,8",2022_kvartal_1
2022-01-27,"6,8",2022_kvartal_1
2022-01-28,"6,8",2022_kvartal_1
2022-02-02,"6,8",2022_kvartal_1
2022-02-03,"6,8",2022_kvartal_1
2022-02-04,"6,8",2022_kvartal_1
2022-02-05,"6,8",2022_kvartal_1
2022-02-18,"6,8",2022_kvartal_1
2022-02-19,"6,8",2022_kvartal_1
2022-02-20,"6,8",2022_kvartal_1
2022-02-28,"6,8",2022_kvartal_1
2022-03-20,"6,8",2022_kvartal_1
2022-04-01,"6,8",2022_kvartal_2
2022-04-02,"6,8",2022_kvartal_2
2022-10-05,"6,8",2022_kvartal_4
2022-10-06,"6,8",2022_kvartal_4
2022-10-07,"6,8",2022_kvartal_4
2022-10-08,"6,8",2022_kvartal_4
2022-10-11,"6,8",2022_kvartal_4
2022-10-12,"6,8",2022_kvartal_4
2022-10-24,"6,8",2022_kvartal_4
2022-10-25,"6,8",2022_kvartal_4
2022-11-18,"6,8",2022_kvartal_4
2022-12-04,"6,8",2022_kvartal_4
2022-12-05,"6,8",2022_kvartal_4
2022-12-06,"6,8",2022_kvartal_4
2022-12-07,"6,8",2022_kvartal_4
2022-12-08,"6,8",2022_kvartal_4
2022-12-15,"6,8",2022_kvartal_4
2022-12-16,"6,8",2022_kvartal_4
2022-12-17,"6,8",2022_kvartal_4
2022-12-18,"6,8",2022_kvartal_4
2022-12-19,"6,8",2022_kvartal_4
2022-12-22,"6,8",2022_kvartal_4
2022-12-25,"6,8",2022_kvartal_4
2022-12-26,"6,8",2022_kvartal_4
2022-12-27,"6,8",2022_kvartal_4
2022-12-28,"6,8",2022_kvartal_4
2023-01-17,"6,8",2023_year
2023-01-18,"6,8",2023_year
2023-01-19,"6,8",2023_year
2023-01-24,"6,8",2023_year
2023-01-25,"6,8",2023_year
2023-01-30,"6,8",2023_year
2023-01-31,"6,8",2023_year
2023-02-01,"6,8",2023_year
2023-02-13,"6,8",2023_year
2023-02-14,"6,8",2023_year
2023-02-15,"6,8",2023_year
2023-02-16,"6,8",2023_year
2023-02-19,"6,8",2023_year
2023-03-27,"6,8",2023_year
2023-03-28,"6,8",2023_year
2023-11-06,8,2023_year
2023-11-07,8,2023_year
2023-11-20,8,2023_year
2023-12-10,8,2023_year
