rank,city,score,level_H1_2026,level_Q3_2025,chronic_2021_2025,vz_cases_H1_2026,posts_manual,posts_auto,airkaz_sensors,data_points
1,Караганда,16.39,4,4,1,244,4,3,2,15
2,Петропавловск,14.08,4,3,1,11,2,2,1,9
3,Шубарши,13.74,4,4,0,54,0,1,0,3
4,Атырау,12.41,3,3,1,25,0,7,9,30
5,Астана,12.0,3,4,1,0,4,6,18,40
6,Актобе,12.0,3,4,1,0,3,3,6,18
7,Алматы,11.0,3,3,1,0,4,12,153,193
8,Темиртау,11.0,3,3,1,0,3,1,7,13
9,Абай,11.0,4,3,0,0,0,1,0,3
10,Жезказган,10.6,4,2,0,3,2,1,0,5
11,Сатпаев,10.0,3,4,0,0,0,2,0,6
12,Павлодар,9.0,3,3,0,0,2,5,11,28
13,Туркестан,9.0,3,3,0,0,0,3,0,9
14,Талгар,9.0,3,3,0,0,0,1,0,3
15,Усть-Каменогорск,8.0,3,2,0,0,0,10,3,33
16,Семей,8.0,3,2,0,0,0,4,0,12
17,Риддер,8.0,3,2,0,0,0,3,0,9
18,Кульсары,8.0,2,4,0,0,0,2,0,6
19,Ганюшкино,8.0,3,2,0,0,0,0,0,0
20,Костанай,7.0,2,3,0,0,2,2,0,8
21,Жанбай,7.0,2,3,0,0,0,0,0,0
22,Кызылсай,7.0,2,3,0,0,0,0,0,0
23,Актау,6.0,2,2,0,0,2,2,20,28
24,Шымкент,6.0,2,2,0,0,4,2,4,14
25,Тараз,6.0,2,2,0,0,4,1,2,9
26,Кызылорда,6.0,2,2,0,0,1,2,0,7
27,Рудный,6.0,2,2,0,0,0,2,0,6
28,Талдыкорган,6.0,2,2,0,0,0,2,0,6
29,Аральск,6.0,2,2,0,0,0,1,0,3
30,Аркалык,6.0,2,2,0,0,0,1,0,3
31,Жаркент,6.0,2,2,0,0,0,1,0,3
32,Житикара,6.0,2,2,0,0,0,1,0,3
33,Кандыагаш,6.0,2,2,0,0,0,1,0,3
34,Хромтау,6.0,2,2,0,0,0,1,0,3
35,Шу,6.0,2,2,0,0,0,1,0,3
36,Индерборский,6.0,2,2,0,0,0,0,0,0
37,Карабалык,6.0,2,2,0,0,0,0,0,0
38,Кенкияк,6.0,2,2,0,0,0,0,0,0
39,Балхаш,5.0,2,1,0,0,3,1,0,6
40,Алтай,5.0,2,1,0,0,0,1,0,3
41,Аягоз,5.0,2,1,0,0,0,1,0,3
42,Айтеке-би,5.0,2,1,0,0,0,0,0,0
43,Шиели,5.0,2,1,0,0,0,0,0,0
44,Жанаозен,4.0,1,2,0,0,0,2,0,6
45,Кентау,4.0,1,2,0,0,0,1,0,3
46,Уральск,3.0,1,1,0,0,0,4,5,17
47,Кокшетау,3.0,1,1,0,0,0,2,0,6
48,Екибастуз,3.0,1,1,0,0,1,1,0,4
49,Аксай,3.0,1,1,0,0,0,1,0,3
50,Аксу,3.0,1,1,0,0,0,1,0,3
51,Атбасар,3.0,1,1,0,0,0,1,0,3
52,Жанатас,3.0,1,1,0,0,0,1,0,3
53,Каратау,3.0,1,1,0,0,0,1,0,3
54,Лисаковск,3.0,1,1,0,0,0,1,0,3
55,Сарань,3.0,1,1,0,0,0,1,0,3
56,Степногорск,3.0,1,1,0,0,0,1,0,3
57,Шемонаиха,3.0,1,1,0,0,0,1,0,3
58,Щучинск,3.0,1,1,0,0,0,1,0,3
59,Акай,3.0,1,1,0,0,0,0,0,0
60,Ауэзов,3.0,1,1,0,0,0,0,0,0
61,Ауэзово,3.0,1,1,0,0,0,0,0,0
62,Бейнеу,3.0,1,1,0,0,0,0,0,0
63,Бестобе,3.0,1,1,0,0,0,0,0,0
64,Бурабай,3.0,1,1,0,0,0,0,0,0
65,Бурлин,3.0,1,1,0,0,0,0,0,0
66,Глубокое,3.0,1,1,0,0,0,0,0,0
67,Кордай,3.0,1,1,0,0,0,0,0,0
68,Макат,3.0,1,1,0,0,0,0,0,0
69,Састобе,3.0,1,1,0,0,0,0,0,0
70,Торетам,3.0,1,1,0,0,0,0,0,0
