date,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone
2022-08-04,2.39,3.48,2.47,8.98,114.05,63.16
2022-08-05,2.48,3.63,2.8,9.86,112.21,66.92
2022-08-06,2.02,2.95,2.71,10.1,113.67,68.42
2022-08-07,6.37,9.17,4.27,15.6,128.58,71.38
2022-08-08,16.73,23.96,4.99,23.34,182.17,67.17
2022-08-09,15.07,21.58,5.66,15.61,210.96,70.21
2022-08-10,13.46,19.24,7.95,8.42,188.29,67.25
2022-08-11,6.83,9.79,6.49,5.66,144.54,59.88
2022-08-12,7.72,11.1,6.52,12.56,144.88,56.38
2022-08-13,12.4,17.74,8.66,22.23,194.21,59.58
2022-08-14,5.18,7.5,17.11,28.18,195.17,54.21
2022-08-15,2.62,3.84,3.24,14.97,112.67,52.67
2022-08-16,3.66,5.3,4.18,14.62,121.58,48.46
2022-08-17,7.23,10.48,7.13,26.95,128.88,47.71
2022-08-18,4.88,7.04,3.41,14.96,118.54,48.33
2022-08-19,2.99,4.3,2.48,9.25,94.46,44.38
2022-08-20,3.4,4.94,8.68,13.78,107.83,40.46
2022-08-21,4.11,5.9,9.17,19.08,120.33,40.46
2022-08-22,7.35,10.53,16.05,34.47,192.29,38.88
2022-08-23,3.82,5.83,7.12,21.52,106.62,47.88
2022-08-24,3.61,5.25,4.42,14.95,122.79,55.08
2022-08-25,3.29,4.76,6.55,21.74,137.75,50.46
2022-08-26,7.2,10.47,8.01,21.96,153.0,54.67
2022-08-27,12.53,18.83,9.58,27.97,192.08,61.88
2022-08-28,5.74,8.31,4.02,16.12,170.75,63.79
2022-08-29,2.55,3.66,6.37,20.01,131.46,50.67
2022-08-30,7.66,10.96,8.85,26.43,143.54,44.96
2022-08-31,8.96,12.85,9.32,32.23,149.04,57.25
2022-09-01,14.05,20.82,21.9,40.3,233.38,56.88
2022-09-02,14.68,22.29,17.9,36.89,193.71,59.08
2022-09-03,15.24,22.65,30.25,39.19,230.42,49.46
2022-09-04,12.3,20.93,11.47,24.51,167.25,60.04
2022-09-05,8.9,14.13,11.15,39.43,161.04,64.83
2022-09-06,9.88,16.4,15.56,31.17,154.42,61.79
2022-09-07,4.97,7.58,4.35,12.3,140.21,73.33
2022-09-08,7.39,10.8,7.1,21.45,149.33,56.29
2022-09-09,8.67,12.52,13.04,41.53,157.67,53.29
2022-09-10,5.58,8.46,13.42,21.3,151.0,62.67
2022-09-11,8.88,15.1,8.74,10.62,150.17,61.46
2022-09-12,3.3,4.75,4.34,11.6,131.75,55.12
2022-09-13,4.44,6.37,5.08,19.4,132.04,46.17
2022-09-14,2.72,3.93,4.97,21.68,128.5,46.96
2022-09-15,4.1,5.92,7.2,26.08,139.83,47.75
2022-09-16,2.99,4.31,3.81,13.19,129.5,51.92
2022-09-17,2.84,4.07,2.56,8.21,125.17,56.38
2022-09-18,3.53,5.05,3.49,11.22,135.12,56.58
2022-09-19,6.24,8.93,3.56,11.11,137.33,60.88
