date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,wind_speed_10m_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum,relative_humidity_2m_mean,surface_pressure_mean,blh_min_m,blh_mean_m,vz_day,cams_pm2_5,cams_pm10,cams_nitrogen_dioxide,cams_sulphur_dioxide,cams_carbon_monoxide,cams_ozone
2021-01-01,-18.4,-25.2,-15.7,10.1,12.3,294,1.4,0.98,85,969.5,30.0,91,1,,,,,,
2021-01-02,-26.7,-28.6,-23.2,11.8,17.9,82,0.0,0.0,85,973.3,35.0,77,0,,,,,,
2021-01-03,-28.4,-30.2,-26.0,22.4,28.9,83,0.0,0.0,74,977.8,80.0,158,0,,,,,,
2021-01-04,-24.4,-28.7,-20.1,24.1,26.5,95,0.0,0.0,66,978.3,135.0,155,0,,,,,,
2021-01-05,-17.9,-19.8,-15.5,28.8,33.3,81,0.0,0.0,64,974.2,195.0,267,0,,,,,,
2021-01-06,-22.2,-27.1,-18.9,22.3,28.3,69,0.0,0.0,72,970.2,110.0,210,0,,,,,,
2021-01-07,-28.2,-31.9,-23.6,12.6,17.6,59,0.0,0.0,78,967.6,30.0,62,0,,,,,,
2021-01-08,-29.7,-33.0,-26.0,6.4,10.6,187,0.0,0.0,82,970.1,15.0,44,1,,,,,,
2021-01-09,-25.0,-31.6,-18.8,14.4,21.7,196,0.0,0.0,76,971.4,35.0,105,0,,,,,,
2021-01-10,-11.8,-17.8,-8.1,22.8,29.5,210,0.0,0.0,65,963.3,210.0,313,0,,,,,,
2021-01-11,-8.8,-13.2,-4.9,22.4,28.2,216,0.0,0.0,62,951.2,90.0,276,1,,,,,,
2021-01-12,-10.1,-17.5,-5.3,40.4,52.5,234,1.5,1.05,74,942.8,120.0,726,0,,,,,,
2021-01-13,-22.0,-24.4,-18.1,19.5,38.6,268,0.6,0.42,78,959.3,10.0,383,0,,,,,,
2021-01-14,-25.3,-31.9,-19.8,13.1,19.0,101,0.0,0.0,80,969.3,10.0,50,1,,,,,,
2021-01-15,-20.3,-26.6,-13.9,16.7,22.7,115,0.0,0.0,67,967.0,45.0,110,1,,,,,,
2021-01-16,-10.8,-16.6,-5.4,16.3,23.2,154,0.0,0.0,58,954.0,245.0,278,0,,,,,,
2021-01-17,-9.4,-12.3,-6.3,17.9,25.9,219,0.0,0.0,86,951.6,50.0,171,1,,,,,,
2021-01-18,-10.7,-15.0,-5.9,11.7,16.2,221,0.0,0.0,84,947.2,35.0,104,1,,,,,,
2021-01-19,-12.3,-15.4,-8.0,18.6,20.3,75,0.0,0.0,89,947.3,95.0,125,0,,,,,,
2021-01-20,-7.0,-12.9,-2.2,19.6,29.5,220,1.0,0.7,90,949.4,65.0,357,0,,,,,,
2021-01-21,-8.5,-11.4,-6.1,9.2,16.5,337,2.8,1.96,90,949.2,40.0,191,0,,,,,,
2021-01-22,-17.3,-20.7,-12.3,20.3,33.2,261,0.3,0.21,82,950.7,230.0,365,0,,,,,,
2021-01-23,-16.5,-21.6,-13.1,21.2,35.3,237,1.6,1.12,81,960.4,30.0,458,1,,,,,,
2021-01-24,-22.7,-26.3,-19.2,10.4,14.0,234,0.2,0.14,86,968.0,40.0,150,1,,,,,,
2021-01-25,-17.8,-26.6,-12.7,20.2,30.9,222,0.9,0.7,80,967.4,50.0,239,0,,,,,,
2021-01-26,-9.4,-12.6,-7.0,19.9,23.7,241,0.4,0.28,89,967.3,175.0,259,0,,,,,,
