who_region,iso3,country_name,city,year,version,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov,type_of_stations,number_stations,reference,web_link,population,population_source,latitude,longitude,who_ms
EUR,KAZ,Kazakhstan,Almaty/KAZ,2010,V8.0 (2026) (n=1),NA,NA,143.6,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2014,V8.0 (2026) (n=1),12,NA,77,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2015,V8.0 (2026) (n=1),60,NA,102,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2016,V8.0 (2026) (n=1),50,20,80,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2017,V8.0 (2026) (n=1),300,9,70,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2018,V8.0 (2026) (n=1),30,15,59,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2019,V8.0 (2026) (n=1),50,30,65,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2020,V8.0 (2026) (n=1),40,30,70,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2021,V8.0 (2026) (n=1),47,36,81,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2022,V8.0 (2026) (n=1),40,30,60,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2023,V8.0 (2026) (n=1),20,20,60,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Almaty/KAZ,2024,V8.0 (2026) (n=1),30,20,60,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),43.2472,76.9101,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2010,V8.0 (2026) (n=1),NA,NA,158.66,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2011,V8.0 (2026) (n=1),NA,NA,35,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2012,V8.0 (2026) (n=1),NA,NA,153.33,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2013,V8.0 (2026) (n=1),NA,NA,40,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2014,V8.0 (2026) (n=1),18,NA,62,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2015,V8.0 (2026) (n=1),56,NA,75,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2016,V8.0 (2026) (n=1),100,20,80,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2017,V8.0 (2026) (n=1),60,20,80,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2018,V8.0 (2026) (n=1),20,20,950,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2019,V8.0 (2026) (n=1),30,30,40,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2020,V8.0 (2026) (n=1),50,50,70,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2021,V8.0 (2026) (n=1),47,36,33,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2022,V8.0 (2026) (n=1),60,50,40,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2023,V8.0 (2026) (n=1),40,30,50,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
