Experiment,Algorithm,fold,RMSE,MAE,R2
A,Baseline (mean),1,6.588520208489686,4.177106812571026,-1.3401069572482882e-05
A,Baseline (mean),2,6.589312842618327,4.513547160938908,-0.01505642091479853
A,Baseline (mean),3,4.1867222101803225,3.2886177945844275,-0.005657586649750579
A,Baseline (mean),4,5.692312825378915,3.9391686622320767,-0.00048299661664663596
A,Baseline (mean),5,4.752948820959867,3.81859379157428,-0.040792843109018095
A,Baseline (mean),6,5.271716854074361,3.77099393939394,-0.0024977616865657915
A,Baseline (mean),7,7.528300246017996,4.625014092140922,-0.021578634165330124
A,Baseline (mean),8,5.400400683111432,3.9338493717664447,-0.005517717861453386
A,Baseline (mean),9,5.680976437591307,4.179684405025869,-0.0035740670064410285
A,Baseline (mean),10,5.657969803842519,4.090644444444445,-0.00014371796656176272
A,Ridge,1,5.20522781774287,3.3989942899744165,0.37582044476784193
A,Ridge,2,4.987012471617335,3.3034679302685093,0.41857883489913217
A,Ridge,3,4.209698964914802,3.2736071240718054,-0.016725984089091428
A,Ridge,4,4.362732792708439,3.078587572531679,0.41230848218972105
A,Ridge,5,3.8429768562196207,3.0187196900899593,0.3195855011178139
A,Ridge,6,4.333093727505834,3.2296434325074084,0.32270881098657134
A,Ridge,7,6.2468752889759305,3.8382280517375778,0.296597981576195
A,Ridge,8,4.364512306530994,3.0415192632041688,0.34323620258409904
A,Ridge,9,4.484382017330713,3.2222487640232584,0.37467087151998435
A,Ridge,10,4.402593480601643,3.2846520460433166,0.3944383926481905
A,Lasso,1,5.289684618593353,3.4177894206128054,0.3554010200985158
A,Lasso,2,5.108974355258953,3.4143054388306413,0.3897927350889593
A,Lasso,3,4.138543711882274,3.2134934476122203,0.017354352405173246
A,Lasso,4,4.441483475621026,3.1199669873864226,0.3909004265548215
A,Lasso,5,3.8177809847847106,2.9630985767995677,0.3284783136964534
A,Lasso,6,4.298177874364803,3.1762415192524114,0.33357999133191285
A,Lasso,7,6.281068089444412,3.8279564692400943,0.28887664663005097
A,Lasso,8,4.33433693067104,2.9392630819535808,0.35228627913619526
A,Lasso,9,4.482439221583758,3.1850296668435947,0.3752125843358054
A,Lasso,10,4.451435787858361,3.307545437428171,0.3809276791261792
A,Elastic Net,1,5.289989696041553,3.4175340263727785,0.35532666470799434
A,Elastic Net,2,5.10937389672131,3.414872102185321,0.3896972902426241
A,Elastic Net,3,4.1284840983449635,3.206216716919578,0.022125606402875864
A,Elastic Net,4,4.446089891590128,3.1230189635142813,0.38963633495311645
A,Elastic Net,5,3.8149014261061596,2.9542978915074394,0.32949092121198653
A,Elastic Net,6,4.302739365412214,3.18015865586264,0.3321647488546132
A,Elastic Net,7,6.285966182214265,3.8292115419341872,0.28776711996433446
A,Elastic Net,8,4.3304610767332035,2.931945005590704,0.35344415927809647
A,Elastic Net,9,4.482799605610472,3.184912222702455,0.3751121156199869
A,Elastic Net,10,4.452397078730058,3.3088134391770962,0.38066027199894636
A,KNN Regression,1,4.699669287051448,3.032624418951506,0.4911794404868375
A,KNN Regression,2,5.029961419204215,3.4800298810535573,0.40852112750529757
A,KNN Regression,3,3.712544607608996,2.9325446947779064,0.2092390713910538
A,KNN Regression,4,4.172761874127211,2.9854322381736758,0.46237507209008544
A,KNN Regression,5,3.8578324164705884,2.8594835770474187,0.3143148602671296
A,KNN Regression,6,4.179357036459465,3.0271856494629934,0.3699163544552364
A,KNN Regression,7,5.901404332623997,3.4268146117260447,0.37224716775757094
A,KNN Regression,8,3.8568394905222623,2.702576409438583,0.48713756376802375
A,KNN Regression,9,4.305616129633934,3.089777257592535,0.4235335070083839
A,KNN Regression,10,4.224166834933793,2.982961559783357,0.4425277090622455
A,Extra Trees Regression,1,3.624620168640644,2.4492671523178777,0.6973399770775499
A,Extra Trees Regression,2,4.045526736035924,2.796325695364241,0.6173866847066835
A,Extra Trees Regression,3,3.7644331663558956,2.743858145695364,0.1869803845602548
A,Extra Trees Regression,4,3.178826507484796,2.2950418666666654,0.6879919166137025
A,Extra Trees Regression,5,3.188029264191911,2.507214400000001,0.5317447880805972
A,Extra Trees Regression,6,3.8198396448852856,2.7302500000000007,0.47365618607868054
A,Extra Trees Regression,7,4.757800959572539,2.853064133333334,0.5919715199324804
A,Extra Trees Regression,8,3.389193418224853,2.4875240000000014,0.6039678265947179
A,Extra Trees Regression,9,3.4290639387619097,2.4514448,0.6343592252094509
A,Extra Trees Regression,10,3.9755906761593662,2.6301254666666654,0.5062075020201315
A,Adaptive Boosting (AdaBoost),1,4.59668302431043,3.592021519637516,0.5132351954308304
A,Adaptive Boosting (AdaBoost),2,5.3315312301069175,4.166248766674296,0.3354711451533039
A,Adaptive Boosting (AdaBoost),3,4.698928855909149,3.9095793543562616,-0.2667752828538197
A,Adaptive Boosting (AdaBoost),4,4.676394828301729,3.662195984203853,0.32476563469542674
A,Adaptive Boosting (AdaBoost),5,4.734879839974255,4.070972230827503,-0.03289445417577497
A,Adaptive Boosting (AdaBoost),6,4.98959280623873,3.9610805778269227,0.10193148844719602
A,Adaptive Boosting (AdaBoost),7,5.33470476496152,3.668715316474313,0.48702202654126847
A,Adaptive Boosting (AdaBoost),8,4.608274319141278,3.89310833045727,0.26782582284683343
A,Adaptive Boosting (AdaBoost),9,5.112015390215981,4.268460514040459,0.1873795270835934
A,Adaptive Boosting (AdaBoost),10,4.767010166944707,3.683319444014835,0.29004092134482307
A,Gradient Boosting Regression,1,3.4735870136831077,2.324424455512951,0.722037364881275
