day_of_year,pm2_5_ugm3
1,7.83
2,7.71
3,8.05
4,8.47
5,8.71
6,8.97
7,9.15
8,9.21
9,9.31
10,9.36
11,9.35
12,9.33
13,9.3
14,9.43
15,9.82
16,10.2
17,10.46
18,10.62
19,10.67
20,10.67
21,10.72
22,10.81
23,10.9
24,10.92
25,10.96
26,10.91
27,10.69
28,10.56
29,10.47
30,10.56
31,10.68
32,10.72
33,10.74
34,10.34
35,9.99
36,9.99
37,9.94
38,10.01
39,10.08
40,9.95
41,9.95
42,9.96
43,9.99
44,10.16
45,10.26
46,10.12
47,9.81
48,9.69
49,9.65
50,9.71
51,9.84
52,9.83
53,9.83
54,10.04
55,10.12
56,10.23
57,10.32
58,10.7
59,10.88
60,10.98
61,10.87
62,10.93
63,10.94
64,10.97
65,11.17
66,11.5
67,11.71
68,12.03
69,12.36
70,12.45
71,12.55
72,12.66
73,12.7
74,12.71
75,12.6
76,12.46
77,12.41
78,12.39
79,12.39
80,12.56
81,12.65
82,12.76
83,12.93
84,13.12
85,12.98
86,12.96
87,12.82
88,12.74
89,12.5
90,12.38
91,12.27
92,12.22
93,12.17
94,12.32
95,12.39
96,12.17
97,11.95
98,11.66
99,11.22
100,10.7
101,10.38
102,10.19
103,9.94
104,9.81
105,9.71
106,9.63
107,9.56
108,9.44
109,9.37
110,9.34
111,9.22
112,9.16
113,9.09
114,9.08
115,9.07
116,9.07
117,9.24
118,9.31
119,9.27
120,9.24
121,9.15
122,9.09
123,9.06
124,8.96
125,8.71
126,8.46
127,8.43
128,8.3
129,8.27
130,8.38
131,8.6
132,8.65
133,8.61
134,8.62
135,8.63
136,8.64
137,8.65
138,8.76
139,8.85
140,8.95
141,9.01
142,9.03
143,9.15
144,9.19
145,9.35
146,9.37
147,9.44
148,9.46
149,9.53
150,9.64
151,9.73
152,9.76
153,9.83
154,9.98
155,10.01
156,10.0
157,10.06
158,10.08
159,10.16
160,10.19
161,10.17
162,10.02
163,10.05
164,10.08
165,10.09
166,10.1
167,10.13
168,10.12
169,10.02
170,10.03
171,10.01
172,10.03
173,10.02
174,9.91
175,9.85
176,9.66
177,9.52
178,9.47
179,9.35
180,9.27
181,9.28
182,9.26
183,9.2
184,9.13
185,9.07
186,9.04
187,9.05
188,9.05
189,9.09
190,9.04
191,9.01
192,8.94
193,8.93
194,8.96
195,9.0
196,9.06
197,9.07
198,9.09
199,9.09
200,9.13
201,9.1
202,9.04
203,8.95
204,8.93
205,8.92
206,8.91
207,9.0
208,8.94
209,8.85
210,8.8
211,8.72
212,8.59
213,8.57
214,8.58
215,8.59
216,8.53
217,8.52
218,8.48
219,8.48
220,8.42
221,8.39
222,8.32
223,8.31
224,8.32
225,8.26
226,8.14
227,8.04
228,8.0
229,8.03
230,8.02
231,8.04
232,8.05
233,8.01
234,8.01
235,7.95
236,7.95
237,7.88
238,7.74
239,7.77
240,7.74
241,7.63
242,7.65
243,7.62
244,7.53
245,7.54
246,7.51
247,7.45
248,7.43
249,7.54
250,7.5
251,7.47
252,7.4
253,7.45
254,7.46
255,7.37
256,7.33
257,7.43
258,7.49
259,7.51
260,7.4
261,7.33
262,7.21
263,7.25
264,7.43
265,7.57
266,7.71
267,7.82
268,7.87
269,7.92
270,7.91
271,7.88
272,7.95
273,8.0
274,8.16
275,8.21
276,8.21
277,8.28
278,8.42
279,8.45
280,8.4
281,8.36
282,8.44
283,8.62
284,8.62
285,8.52
286,8.54
287,8.72
288,8.82
289,8.73
290,8.58
291,8.59
292,8.57
293,8.61
294,8.53
295,8.32
296,8.19
297,7.98
298,7.73
299,7.52
300,7.37
301,7.18
302,7.11
303,7.11
304,6.97
305,6.75
306,6.75
307,6.92
308,7.09
309,7.13
310,7.13
311,7.02
312,7.05
313,7.06
314,6.88
315,6.85
316,6.9
317,6.93
318,6.91
319,6.88
320,7.0
321,7.09
322,7.14
323,7.31
324,7.63
325,7.9
326,8.05
327,8.12
328,8.23
329,8.37
330,8.68
331,8.82
332,8.94
333,8.98
334,8.91
335,9.03
336,9.21
337,9.4
338,9.35
339,9.07
340,8.86
341,8.74
342,8.73
343,8.8
344,8.91
345,9.07
346,9.19
347,9.28
348,9.34
349,9.2
350,8.96
351,8.85
352,8.74
353,8.6
354,8.42
355,8.04
356,7.71
357,7.53
358,7.35
359,7.28
360,7.21
361,7.13
362,7.19
363,7.4
364,7.68
365,7.82
366,7.82
