feature,importance,sd,model
ventilation_index,1.37792749098632,0.05331303416833653,CatBoost
doy_sin,1.19107454531887,0.044830503919233634,CatBoost
blh_mean_m,1.16109198483502,0.034084938376204084,CatBoost
wind_dir_cos,0.8979265232483519,0.04448072626440699,CatBoost
trend_days,0.8688961495067741,0.04211597957044013,CatBoost
relative_humidity_2m_mean,0.8499541490223865,0.03422768250695224,CatBoost
wind_speed_10m_mean,0.7498740255154035,0.031037632317956487,CatBoost
diurnal_range,0.5143581822181349,0.023925195922236398,CatBoost
doy_cos,0.5068192767458759,0.01748139600398506,CatBoost
blh_min_m,0.4121666260692581,0.024658119866225316,CatBoost
temperature_2m_min,0.4101211889083539,0.021705029688324634,CatBoost
wind_dir_sin,0.3883814031251762,0.02599074732408013,CatBoost
temperature_2m_max,0.3684543224130773,0.01801780881856622,CatBoost
surface_pressure_mean,0.31439983654600395,0.016843528075164114,CatBoost
wind_speed_10m_max,0.24617191397328825,0.01534773431797838,CatBoost
heating_degree_days,0.18815621745430014,0.015214629730455178,CatBoost
precipitation_sum,0.18008421941176872,0.01219679068203196,CatBoost
temperature_2m_mean,0.11429829377622483,0.007187067922428928,CatBoost
snowfall_sum,0.08493578776077979,0.010376098509554354,CatBoost
is_weekend,0.048765830509493124,0.004389607180879667,CatBoost
is_heating_season,0.03480336959363571,0.008379190337962358,CatBoost
