Experiment,Algorithm,Number of features,Number of targets,k-fold validation,RMSE,RMSE_sd,MAE,MAE_sd,R2,R2_sd,"Fit time, s"
A,Baseline (mean),21,1,10-fold,5.734918093226473,0.9150477520217447,4.033722047467234,0.36254161809487423,-0.00953151470461384,0.012367748267816238,0.004007700000511249
A,Ridge,21,1,10-fold,4.643910572414819,0.6457353272085983,3.26896681644521,0.2228794649132909,0.32412195382004577,0.12008085255029786,0.005299858400394442
A,Lasso,21,1,10-fold,4.664392505006269,0.6757771117433821,3.256469004595951,0.24471388879265385,0.32128100284040667,0.10571522282627605,0.01706793339981232
A,Elastic Net,21,1,10-fold,4.664320231750433,0.6779079289482236,3.255098056576648,0.24691895375711653,0.3215425233234575,0.10429420317713531,0.08615798339960748
A,KNN Regression,21,1,10-fold,4.39401534286359,0.627870999843577,3.051943029800758,0.22555274060447406,0.3980991873791864,0.0822211202822332,0.06504624169974704
A,Extra Trees Regression,21,1,10-fold,3.717292448031312,0.4515783149302035,2.5944115660044154,0.1731730985651295,0.5531606010874249,0.14030152444278973,0.25142758330039217
A,Adaptive Boosting (AdaBoost),21,1,10-fold,4.8850015226104695,0.2717352001432893,3.887570203851323,0.22137134415978857,0.22080020245136808,0.2246539010237202,0.44483246249947117
A,Gradient Boosting Regression,21,1,10-fold,3.7898812808474958,0.5069548526582639,2.5952922158830107,0.2297487646692555,0.5283032076980675,0.18450821702505704,1.027192358400498
A,XGBoost,21,1,10-fold,3.6550633641390755,0.5374602864357148,2.502887111374169,0.20601635569257026,0.5587534592060757,0.1917926820490982,0.9570277875005558
A,LightGBM,21,1,10-fold,3.727753688211898,0.5173582496763651,2.554202310805147,0.19313660147084227,0.5432107588179175,0.18132612481424454,3.540929070799757
A,CatBoost,21,1,10-fold,3.5905300534694455,0.4766733056422358,2.497643370153736,0.19840726398212105,0.5872323526846154,0.10923404678369436,0.2951940042003116
A,HistGradientBoosting,21,1,10-fold,3.749064148304916,0.5100515646034862,2.559174820435957,0.20293924759919058,0.5372603414404108,0.18470287534388088,2.6380757417005953
