Experiment,Algorithm,Number of features,Number of targets,k-fold validation,RMSE,RMSE_sd,MAE,MAE_sd,R2,R2_sd,"Fit time, s"
B,Baseline (mean),21,1,10-fold,5.503624845399138,2.1129875924631114,4.046347460282282,1.2305309556978934,-0.2177659429199764,0.4059622036687448,0.0027304708004521673
B,Ridge,21,1,10-fold,5.28386861418046,1.322122225095507,4.020749516543226,0.9185130694861487,-0.30288321388497713,0.6444225735576213,0.004427187499823048
B,Lasso,21,1,10-fold,5.11609396731732,1.4932113500109996,3.691579332251351,0.6249645753184263,-0.14824119817605858,0.4103260495536931,0.0208310750000237
B,Elastic Net,21,1,10-fold,5.114884174990051,1.4972844674969177,3.682003776319907,0.6201319930970577,-0.14326409867922302,0.39751231482111427,0.09999073750004754
B,KNN Regression,21,1,10-fold,4.900915716019204,1.6488936812916521,3.519733861355239,0.8833406736442934,-0.05165141459220487,0.5896015600296268,0.04927927910030121
B,Extra Trees Regression,21,1,10-fold,4.330314393983797,1.3395853054066582,3.201246088235295,0.7727453884468295,0.18371155668887237,0.31067102864631974,0.17310314170026686
B,Adaptive Boosting (AdaBoost),21,1,10-fold,5.029152406020779,1.205753250574752,3.873127549056531,0.7185267558202876,-0.1748242831709304,0.559322127169805,0.2675001416995656
B,Gradient Boosting Regression,21,1,10-fold,4.839393042495484,1.4589553116187242,3.6441014432204084,0.9349136259936632,-0.03440954394504665,0.41690035696677996,0.6174655541995889
B,XGBoost,21,1,10-fold,4.605194561814037,1.2901805375777289,3.4593420373797414,0.8377805071753032,0.05691992687076759,0.3997413621999492,0.9358123625002918
B,LightGBM,21,1,10-fold,4.532618758725679,1.3546808822086305,3.3627659891493176,0.8350869757096583,0.08901576096672212,0.40884153594780714,2.57548569999999
B,CatBoost,21,1,10-fold,4.418285286443487,1.366316353047437,3.276989374725152,0.8262026353368772,0.15129155315120535,0.31272492590782475,0.26700576250004815
B,HistGradientBoosting,21,1,10-fold,4.629975718660086,1.4343177141108518,3.4340167969223905,0.8986573582566593,0.051093933524731315,0.45780349763762695,1.982108966600208
