Experiment,Algorithm,Number of features,Number of targets,k-fold validation,RMSE,RMSE_sd,MAE,MAE_sd,R2,R2_sd,"Fit time, s"
C,Baseline (mean),28,1,10-fold,5.506833706747066,2.1126221415450086,4.050544119191795,1.2300081085324484,-0.22025455957701764,0.41139717659131936,0.0029166666005039587
C,Ridge,28,1,10-fold,4.693637261211593,1.7360231155868286,3.650547593888355,1.4838607880169015,-0.11120019070179418,1.076359544167648,0.005310716599342413
C,Lasso,28,1,10-fold,4.202081111473355,1.182924834332838,3.064895783023922,0.6027450553699646,0.23988750045933704,0.21841553120006954,0.02425041669921484
C,Elastic Net,28,1,10-fold,4.19829037216752,1.1964842714674224,3.060827853329118,0.6109243633720014,0.24510509320689516,0.2105326761169354,0.11374910000013187
C,KNN Regression,28,1,10-fold,4.476792300117211,1.5517561757407277,3.1925465903901538,0.7701131329585548,0.18035715037458383,0.1949646977765956,0.053060612501576544
C,Extra Trees Regression,28,1,10-fold,3.884487439815294,1.241555912195233,2.8256727794117653,0.7087841544907942,0.3541060658963509,0.20670982980802685,0.2243199791002553
C,Adaptive Boosting (AdaBoost),28,1,10-fold,4.367358930402794,1.0852012257415284,3.355572286596664,0.6156555100186436,0.1435345565984272,0.3241163483201623,0.3575563583988696
C,Gradient Boosting Regression,28,1,10-fold,4.1211297455683376,1.2372607499637347,3.026155564156564,0.7213742303334459,0.2652555350984938,0.24765453723954378,0.8661360208992847
C,XGBoost,28,1,10-fold,4.00374824204756,1.1226947565837406,2.9305144715659757,0.6144108312400884,0.28847345970069477,0.29624479395069475,0.9386895792005816
C,LightGBM,28,1,10-fold,4.138103707600324,1.2704664012113278,3.016168414635349,0.7424456189517871,0.25275246520481554,0.2882528805202435,2.5730146874993807
C,CatBoost,28,1,10-fold,3.932153307996905,1.3791614386839377,2.8280627405584133,0.7263680921358552,0.33539023650615046,0.2256610450324376,0.33534159169939814
C,HistGradientBoosting,28,1,10-fold,4.147722479306912,1.2740783512017684,3.025572826994062,0.7282187918578426,0.25205290675700187,0.28065524208134507,2.4108280124986776
