Experiment,Algorithm,Number of features,Number of targets,k-fold validation,RMSE,RMSE_sd,MAE,MAE_sd,R2,R2_sd,"Fit time, s"
D,Baseline (mean),21,1,10-fold,5.9084161613475095,0.9908231353162186,3.9346873757788345,0.36669562500797165,-0.06936199232006786,0.0343615274740968,0.003928258299129084
D,Ridge,21,1,10-fold,4.6296688230735255,0.7187018760608868,3.0866755053001227,0.23008679214377886,0.3359915815668174,0.07419305941297752,0.006358645801083185
D,Lasso,21,1,10-fold,4.663703052173658,0.7384535709184719,3.099271493015857,0.2410204281059212,0.32759818931173784,0.06822763178812496,0.012402166702668183
D,Elastic Net,21,1,10-fold,4.657787848622268,0.7359700946092933,3.0977587760260414,0.24004510597373271,0.32918520567471243,0.06847884735756227,0.05107883329910692
D,KNN Regression,21,1,10-fold,4.536486198145334,0.7683486312859049,2.973207003501707,0.27828081108812913,0.36587955970191616,0.06232533000552224,0.05820212090038694
D,Extra Trees Regression,21,1,10-fold,3.791607016384572,0.48860474185867586,2.5338220792990667,0.20077744123298213,0.5428769404062008,0.10617685946841326,0.24711905840085818
D,Adaptive Boosting (AdaBoost),21,1,10-fold,4.448732962250222,0.7457525592003741,2.9803649937232874,0.30649678770056227,0.38752718087767185,0.07995776080828003,0.4698924791009631
D,Gradient Boosting Regression,21,1,10-fold,3.8046965075288357,0.5847902542379895,2.520159491784161,0.19264461012230943,0.540442691304629,0.11294528695609786,1.084654658398358
D,XGBoost,21,1,10-fold,3.6486306189890727,0.6255527984118353,2.428667511150726,0.22400348984850155,0.5725458078881067,0.13550727388675693,0.9383838040987029
D,LightGBM,21,1,10-fold,3.721752937881457,0.6727847126103744,2.4875367138412225,0.24722018757628805,0.5543868281128633,0.1469441850452965,3.420305312500568
D,CatBoost,21,1,10-fold,3.701988618079556,0.6297401898055801,2.4559145198281933,0.20001314449804353,0.569715521099797,0.09106833617387014,0.33054812920163384
D,HistGradientBoosting,21,1,10-fold,3.7441906369626627,0.6724378359387823,2.460275581500055,0.2428791837061002,0.5476223657194171,0.1595597705682318,3.309046683300403
